region,lga,ward_merge,village_merge,select_wpt_name,new_wpt_name,wpt_name,wpt_code,wpt_type,wpt_type_other,wpt_status,wpt_non_functional_reason,wpt_non_functional_reason_other,wpt_pbr_status,wpt_call_status,pbr_nonfunctional_functional,pbr_functional_nonfunctional,call_nonfunctional_functional,call_functional_nonfunctional,wpt_pbr_scheme,scheme_merge,scheme_name_change,wpt_gps,wpt_image,numbertaps
Pwani,Kibaha,Ruvu,Kitomondo,NA,Kwa kiluka,Kwa kiluka,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.86476287737789 38.61581250529965 13.568889429769158 4.0,http://classic.ona.io/api/v1/files/2369012?filename=pbrtz/attachments/1474105930266.jpg,NA
Pwani,Kibaha,Ruvu,Kitomondo,NA,Kwa manumbo,Kwa manumbo,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.8672209157480255 38.61192147315374 10.81849034637139 4.0,http://classic.ona.io/api/v1/files/2369005?filename=pbrtz/attachments/1474106267647.jpg,NA
Pwani,Kibaha,Ruvu,Kitomondo,NA,Kwa Juma,Kwa Juma,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.8683596066411585 38.609880202997196 21.87040569299757 4.0,http://classic.ona.io/api/v1/files/2369002?filename=pbrtz/attachments/1474106741618.jpg,NA
Pwani,Kibaha,Ruvu,Kitomondo,NA,Njia panda,Njia panda,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.869386283152773 38.60858923214374 21.827019371567342 4.0,http://classic.ona.io/api/v1/files/2369008?filename=pbrtz/attachments/1474107079036.jpg,NA
Pwani,Kibaha,Ruvu,Kitomondo,NA,Shule ya msingi,Shule ya msingi,NA,communal_standpipe,NA,Not_functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.870328704933283 38.60948870094863 18.063832699797846 4.0,http://classic.ona.io/api/v1/files/2369010?filename=pbrtz/attachments/1474107412596.jpg,NA
Pwani,Kibaha,Ruvu,Kitomondo,NA,Kwa mzee kiyumbo,Kwa mzee kiyumbo,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.870489042938723 38.60735331334388 20.04944069959308 4.0,http://classic.ona.io/api/v1/files/2369007?filename=pbrtz/attachments/1474107795019.jpg,NA
Pwani,Kibaha,Ruvu,Minazi Mikinda,NA,Kwa mgweno,Kwa mgweno,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.857123071064916 38.62632952579516 37.480207165703646 4.0,http://classic.ona.io/api/v1/files/2369026?filename=pbrtz/attachments/1474108673755.jpg,NA
Pwani,Kibaha,Ruvu,Minazi Mikinda,NA,Kwa mzelu,Kwa mzelu,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.84652057602593 38.63402972702522 26.9770599689895 4.0,http://classic.ona.io/api/v1/files/2369021?filename=pbrtz/attachments/1474109051670.jpg,NA
Pwani,Kibaha,Ruvu,Minazi Mikinda,NA,Kwa mzelu 2,Kwa mzelu 2,NA,communal_standpipe,NA,Not_functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.846547960207156 38.63494838868344 5.339630278960316 4.0,http://classic.ona.io/api/v1/files/2369025?filename=pbrtz/attachments/1474109397738.jpg,NA
Pwani,Kibaha,Ruvu,Minazi Mikinda,NA,Kwa kipechu,Kwa kipechu,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.841316688096113 38.6367297628131 9.233661640208023 4.0,http://classic.ona.io/api/v1/files/2369027?filename=pbrtz/attachments/1474109880164.jpg,NA
