region,lga,ward_merge,village_merge,select_wpt_name,new_wpt_name,wpt_name,wpt_code,wpt_type,wpt_type_other,wpt_status,wpt_non_functional_reason,wpt_non_functional_reason_other,wpt_pbr_status,wpt_call_status,pbr_nonfunctional_functional,pbr_functional_nonfunctional,call_nonfunctional_functional,call_functional_nonfunctional,wpt_pbr_scheme,scheme_merge,scheme_name_change,lat,long,wpt_image,numbertaps
Pwani,Kibaha,Ruvu,Kitomondo,NA,Kwa kiluka,Kwa kiluka,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.864762877,38.61581251,http://classic.ona.io/api/v1/files/2369012?filename=pbrtz/attachments/1474105930266.jpg,NA
Pwani,Kibaha,Ruvu,Kitomondo,NA,Kwa manumbo,Kwa manumbo,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.867220916,38.61192147,http://classic.ona.io/api/v1/files/2369005?filename=pbrtz/attachments/1474106267647.jpg,NA
Pwani,Kibaha,Ruvu,Kitomondo,NA,Kwa Juma,Kwa Juma,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.868359607,38.6098802,http://classic.ona.io/api/v1/files/2369002?filename=pbrtz/attachments/1474106741618.jpg,NA
Pwani,Kibaha,Ruvu,Kitomondo,NA,Njia panda,Njia panda,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.869386283,38.60858923,http://classic.ona.io/api/v1/files/2369008?filename=pbrtz/attachments/1474107079036.jpg,NA
Pwani,Kibaha,Ruvu,Kitomondo,NA,Shule ya msingi,Shule ya msingi,NA,communal_standpipe,NA,Not_functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.870328705,38.6094887,http://classic.ona.io/api/v1/files/2369010?filename=pbrtz/attachments/1474107412596.jpg,NA
Pwani,Kibaha,Ruvu,Kitomondo,NA,Kwa mzee kiyumbo,Kwa mzee kiyumbo,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.870489043,38.60735331,http://classic.ona.io/api/v1/files/2369007?filename=pbrtz/attachments/1474107795019.jpg,NA
Pwani,Kibaha,Ruvu,Minazi Mikinda,NA,Kwa mgweno,Kwa mgweno,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.857123071,38.62632953,http://classic.ona.io/api/v1/files/2369026?filename=pbrtz/attachments/1474108673755.jpg,NA
Pwani,Kibaha,Ruvu,Minazi Mikinda,NA,Kwa mzelu,Kwa mzelu,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.846520576,38.63402973,http://classic.ona.io/api/v1/files/2369021?filename=pbrtz/attachments/1474109051670.jpg,NA
Pwani,Kibaha,Ruvu,Minazi Mikinda,NA,Kwa mzelu 2,Kwa mzelu 2,NA,communal_standpipe,NA,Not_functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.84654796,38.63494839,http://classic.ona.io/api/v1/files/2369025?filename=pbrtz/attachments/1474109397738.jpg,NA
Pwani,Kibaha,Ruvu,Minazi Mikinda,NA,Kwa kipechu,Kwa kipechu,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.841316688,38.63672976,http://classic.ona.io/api/v1/files/2369027?filename=pbrtz/attachments/1474109880164.jpg,NA
Pwani,Kibaha,Ruvu,Minazi Mikinda,NA,Soweto,Soweto,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.83502094,38.63926022,http://classic.ona.io/api/v1/files/2369020?filename=pbrtz/attachments/1474110119225.jpg,NA
Pwani,Kibaha,Ruvu,Minazi Mikinda,NA,Shule ya msingi ruvu,Shule ya msingi ruvu,NA,handpump_borehole,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.813093572,38.64956676,http://classic.ona.io/api/v1/files/2369041?filename=pbrtz/attachments/1474110680614.jpg,NA
Pwani,Kibaha,Ruvu,Minazi Mikinda,NA,Kwa kawayawaya,Kwa kawayawaya,NA,handpump_borehole,NA,Not_functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.810690609,38.6487946,http://classic.ona.io/api/v1/files/2369038?filename=pbrtz/attachments/1474110924757.jpg,NA
Pwani,Kibaha,Ruvu,Minazi Mikinda,NA,Kwa juma bigwa,Kwa juma bigwa,NA,handpump_borehole,NA,Not_functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.812866744,38.65420175,http://classic.ona.io/api/v1/files/2369034?filename=pbrtz/attachments/1474111331686.jpg,NA
Pwani,Kibaha,Ruvu,Minazi Mikinda,NA,Kwa mzee kishoka,Kwa mzee kishoka,NA,handpump_borehole,NA,Not_functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,JICA,NA,-6.809931689,38.65517811,http://classic.ona.io/api/v1/files/2369039?filename=pbrtz/attachments/1474111770906.jpg,NA
