region,lga,ward,village,wpt_name,wpt_code,note,select_wpt_name,new_wpt_name,scheme_merge,wpt_type,wpt_type_other,wpt_status,wpt_non_functional_reason,wpt_non_functional_reason_other,wpt_pbr_status,pbr_nonfunctional_functional,pbr_functional_nonfunctional,village_merge,wpt_pbr_scheme,scheme_name_change,long,lat,accuracy,wpt_osm,wpt_gps
Pwani,Kibaha,Ruvu,Kitomondo,Kwa kiluka,NA,village not in pbr,NA,Kwa kiluka,JICA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Kitomondo,NA,NA,38.61581251,-6.864762877,4,fde357ec701b7ba09e73c9e5f0a98b290b6c1940.osm,-6.86476287737789 38.61581250529965 13.568889429769158 4.0
Pwani,Kibaha,Ruvu,Kitomondo,Kwa manumbo,NA,village not in pbr,NA,Kwa manumbo,JICA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Kitomondo,NA,NA,38.61192147,-6.867220916,4,a3dc5b80128d2929a96bdf450b67a105b940563d.osm,-6.8672209157480255 38.61192147315374 10.81849034637139 4.0
Pwani,Kibaha,Ruvu,Kitomondo,Kwa Juma,NA,village not in pbr,NA,Kwa Juma,JICA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Kitomondo,NA,NA,38.6098802,-6.868359607,4,f4277c33a4a63a3d2d63f66361fe970f98ba1a48.osm,-6.8683596066411585 38.609880202997196 21.87040569299757 4.0
Pwani,Kibaha,Ruvu,Kitomondo,Njia panda,NA,village not in pbr,NA,Njia panda,JICA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Kitomondo,NA,NA,38.60858923,-6.869386283,4,1402e4a343555cb511f45db109cb2464974de55d.osm,-6.869386283152773 38.60858923214374 21.827019371567342 4.0
Pwani,Kibaha,Ruvu,Kitomondo,Shule ya msingi,NA,village not in pbr,NA,Shule ya msingi,JICA,communal_standpipe,NA,Not_functional,NA,NA,NA,NA,NA,Kitomondo,NA,NA,38.6094887,-6.870328705,4,d6ae59e8bcde6330bb997bdb5567d98f694fa3a2.osm,-6.870328704933283 38.60948870094863 18.063832699797846 4.0
Pwani,Kibaha,Ruvu,Kitomondo,Kwa mzee kiyumbo,NA,village not in pbr,NA,Kwa mzee kiyumbo,JICA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Kitomondo,NA,NA,38.60735331,-6.870489043,4,a560c51cebae11cd28ca4160d5566122882bc1d1.osm,-6.870489042938723 38.60735331334388 20.04944069959308 4.0
Pwani,Kibaha,Ruvu,Minazi Mikinda,Kwa mgweno,NA,,NA,Kwa mgweno,JICA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Minazi Mikinda,NA,NA,38.62632953,-6.857123071,4,24da56df4a9e5edd3869ee0cde5c9c35a56327a0.osm,-6.857123071064916 38.62632952579516 37.480207165703646 4.0
Pwani,Kibaha,Ruvu,Minazi Mikinda,Kwa mzelu,NA,,NA,Kwa mzelu,JICA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Minazi Mikinda,NA,NA,38.63402973,-6.846520576,4,e711726fe9a8b5e8fce435f68c0d75cedf7a54fb.osm,-6.84652057602593 38.63402972702522 26.9770599689895 4.0
Pwani,Kibaha,Ruvu,Minazi Mikinda,Kwa mzelu 2,NA,,NA,Kwa mzelu 2,JICA,communal_standpipe,NA,Not_functional,NA,NA,NA,NA,NA,Minazi Mikinda,NA,NA,38.63494839,-6.84654796,4,c702ff1c81ccf5d5277dbb39f3292b3182e51fbb.osm,-6.846547960207156 38.63494838868344 5.339630278960316 4.0
Pwani,Kibaha,Ruvu,Minazi Mikinda,Kwa kipechu,NA,,NA,Kwa kipechu,JICA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Minazi Mikinda,NA,NA,38.63672976,-6.841316688,4,7fcbfaf5ae82e068c3ccb4226620a3bdbbdeced1.osm,-6.841316688096113 38.6367297628131 9.233661640208023 4.0
Pwani,Kibaha,Ruvu,Minazi Mikinda,Soweto,NA,,NA,Soweto,JICA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Minazi Mikinda,NA,NA,38.63926022,-6.83502094,4,379fe3c3723be720d4e75d877d21fdfb552e46b5.osm,-6.835020939766244 38.63926021586062 26.32836566486441 4.0
Pwani,Kibaha,Ruvu,Minazi Mikinda,Shule ya msingi ruvu,06023011061WP03_153,,NA,Shule ya msingi ruvu,JICA,handpump_borehole,NA,Functional,NA,NA,NA,NA,NA,Minazi Mikinda,NA,NA,38.64956676,-6.813093572,4,ad3a9a69ae5a10f90102fefd9223852db52ff7d9.osm,-6.813093571927119 38.64956676366005 29.96345757623499 4.0
Pwani,Kibaha,Ruvu,Minazi Mikinda,Kwa kawayawaya,NA,,NA,Kwa kawayawaya,JICA,handpump_borehole,NA,Not_functional,NA,NA,NA,NA,NA,Minazi Mikinda,NA,NA,38.6487946,-6.810690609,4,2dba47a4cb5b6ef27fe86bab95b1a70b9b7cb791.osm,-6.810690609394214 38.64879459747854 1.748131786797737 4.0
Pwani,Kibaha,Ruvu,Minazi Mikinda,Kwa juma bigwa,NA,,NA,Kwa juma bigwa,JICA,handpump_borehole,NA,Not_functional,NA,NA,NA,NA,NA,Minazi Mikinda,NA,NA,38.65420175,-6.812866744,4,32577c23f0986823962e9f8e754a81513eae6d1c.osm,-6.812866743516813 38.65420175311209 27.340095341163487 4.0
Pwani,Kibaha,Ruvu,Minazi Mikinda,Kwa mzee kishoka,NA,,NA,Kwa mzee kishoka,JICA,handpump_borehole,NA,Not_functional,NA,NA,NA,NA,NA,Minazi Mikinda,NA,NA,38.65517811,-6.809931689,4,85fdf91498d8a369abda1811fdba00527eed3b1e.osm,-6.809931688851659 38.655178106266696 29.036398235780833 4.0
Pwani,Kibaha,Ruvu,Minazi Mikinda,Kijiweni,NA,,NA,Kijiweni,JICA,handpump_borehole,NA,Not_functional,NA,NA,NA,NA,NA,Minazi Mikinda,NA,NA,38.65671622,-6.810525985,4,72de7e776cea00f46a8b4f441c3bf7bc42a3f9c8.osm,-6.810525985179613 38.656716223799265 6.1348195055432555 4.0
Dodoma,Chemba,Chemba,Kambi ya Nyasa,Shuleni,NA,,NA,Shuleni,Kambi ya Nyasa water scheme,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Kambi ya Nyasa,NA,NA,35.88548528,-5.307450534,4,NA,-5.307450534089849 35.88548527587403 1165.9770604918303 4.0
Dodoma,Chemba,Chemba,Kambi ya Nyasa,Stand,NA,,NA,Stand,Kambi ya Nyasa,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Kambi ya Nyasa,NA,NA,35.88295394,-5.311421659,4,cf2c191c0a1dbd041b1d44e71d0e7a0a8747a235.osm,-5.311421659435385 35.88295394322552 1157.6790128019604 4.0
Dodoma,Chemba,Chemba,Kambi ya Nyasa,Sekondari,NA,,NA,Sekondari,Kambi ya Nyasa,cattle_trough,NA,Functional,NA,NA,NA,NA,NA,Kambi ya Nyasa,NA,NA,35.89083991,-5.313401033,4,a7117db02c58c2ee35c74750cd0ece759bf11aa1.osm,-5.313401033426526 35.89083991319577 1162.1145767866865 4.0
Dodoma,Chemba,Chemba,Kambi ya Nyasa,Sekondari,NA,,NA,Sekondari,Kambi ya Nyasa,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Kambi ya Nyasa,NA,NA,35.89275601,-5.310199918,4,8fbb45c0449d484b87b323202121e8ee58e2b19a.osm,-5.310199917563417 35.892756013481055 1164.923514810991 4.0
Dodoma,Chemba,Chemba,Kambi ya Nyasa,Kijijini,NA,,NA,Kijijini,Kambi ya Nyasa,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Kambi ya Nyasa,NA,NA,35.9090069,-5.308100788,4,NA,-5.308100788335941 35.90900690164177 1169.2821418596861 4.0
Dodoma,Chemba,Chemba,Kambi ya Nyasa,Kijijini,NA,,NA,Kijijini,Kambi ya Nyasa,cattle_trough,NA,Functional,NA,NA,NA,NA,NA,Kambi ya Nyasa,NA,NA,35.90843553,-5.308245734,4,3bdaadac915ec6b5f6f82563cfa4c932f5b6b587.osm,-5.3082457343509075 35.90843553232721 1168.4428148545962 4.0
Dodoma,Chemba,Chemba,Kambi ya Nyasa,Ukristoni,NA,,NA,Ukristoni,Kambi ya Nyasa,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Kambi ya Nyasa,NA,NA,35.88249587,-5.315623746,4,0264db68f707d011116a12544246b3319f9fcac7.osm,-5.3156237459216635 35.88249586704892 1160.2994672535524 4.0
Dodoma,Chemba,Chemba,Kambi ya Nyasa,Kundusi,NA,,NA,Kundusi,Chiko,cattle_trough,NA,Functional,NA,NA,NA,NA,NA,Kambi ya Nyasa,NA,NA,35.86833467,-5.341634702,4,6d0756e17e86b9bcfcaaa75327412954df1c1fc1.osm,-5.341634701644966 35.86833467372099 1148.486443201203 4.0
Dodoma,Chemba,Chemba,Kambi ya Nyasa,Kundusi,NA,,NA,Kundusi,Chiko,cattle_trough,NA,Functional,NA,NA,NA,NA,NA,Kambi ya Nyasa,NA,NA,35.86832931,-5.341660741,4,4e76afbee02a81d22c25dbc37fa81858c52aafba.osm,-5.341660740800734 35.86832930849781 1143.093359371711 4.0
Dodoma,Chemba,Chemba,Chemba,Bombani,NA,,NA,Bombani,LGA,communal_standpipe,NA,Not_functional,NA,NA,NA,NA,NA,Chemba,NA,NA,35.89060231,-5.24329278,4,9bf4220a7e25a79a84ebdb5c524741c62435fdae.osm,-5.243292779960135 35.890602314218356 1222.7412456395452 4.0
Dodoma,Chemba,Chemba,Chemba,Bombani_01073109131WP22,01073109131WP22,,Bombani_01073109131WP22,NA,Chemba,kiosk,NA,Functional,NA,NA,Functional,NA,NA,Chemba,Chemba,NA,35.89027958,-5.242805546,4,836478466ba401d690ed5a84729d7074716dd256.osm,-5.24280554628906 35.890279577292084 1237.793722407066 4.0
Dodoma,Chemba,Chemba,Chemba,Kwa Juma,NA,,NA,Kwa Juma,LGA,communal_standpipe,NA,Not_functional,NA,NA,NA,NA,NA,Chemba,NA,NA,35.89040056,-5.239963142,4,bb74fed869fa1b9cc71a582a477936c786a9d9b8.osm,-5.239963142398506 35.89040055820402 1227.160846070813 4.0
Dodoma,Chemba,Chemba,Chemba,Bombani,NA,,NA,Bombani,LGA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Chemba,NA,NA,35.8925162,-5.2483771,4,NA,-5.248377100221719 35.89251620134835 1211.964525135082 4.0
Dodoma,Chemba,Chemba,Chemba,Shuleni_01073109131WP23,01073109131WP23,,Shuleni_01073109131WP23,NA,Chemba,kiosk,NA,Functional,NA,NA,Not_functional,NA,never_non_functional,Chemba,Chemba,NA,35.89034206,-5.236452098,4,NA,-5.236452098242299 35.890342057765324 1236.566856029752 4.0
Dodoma,Chemba,Chemba,Chemba,Kwamjungu_01073109131WP24,01073109131WP24,,Kwamjungu_01073109131WP24,NA,Chemba,kiosk,NA,Functional,NA,NA,Not_functional,NA,never_non_functional,Chemba,Chemba,NA,35.88951733,-5.231481105,4,NA,-5.23148110508996 35.88951733067199 1217.362797858768 4.0
Dodoma,Chemba,Chemba,Chemba,Mradini_House_01073109131WP25,01073109131WP25,,Mradini_House_01073109131WP25,NA,Chemba,kiosk,NA,Not_functional,NA,NA,Not_functional,NA,NA,Chemba,Chemba,NA,35.89266461,-5.229439881,4,NA,-5.229439881483997 35.892664614384245 1243.9223580628043 4.0
Dodoma,Chemba,Chemba,Chemba,Kanisani_01073109131WP26,01073109131WP26,,Kanisani_01073109131WP26,NA,Chemba,kiosk,NA,Not_functional,NA,NA,Not_functional,NA,NA,Chemba,Chemba,NA,35.89000948,-5.227330595,4,56b136fe4f3056fc36df03e8a48b483ef6b1c48d.osm,-5.2273305946737985 35.89000947698645 1235.6785373404277 4.0
Dodoma,Chemba,Chemba,Chemba,Mzee_Shaurimoyo_01073109131WP27,01073109131WP27,,Mzee_Shaurimoyo_01073109131WP27,NA,Chemba,kiosk,NA,Not_functional,NA,NA,Not_functional,NA,NA,Chemba,Chemba,NA,35.88820989,-5.22397918,4,0aebd326b00f1389dcc4310cc226a33686bd9ae1.osm,-5.223979180132141 35.888209889932796 1227.7033617545342 4.0
Dodoma,Chemba,Chemba,Chemba,Kwa Halifa Mwinyi,NA,,NA,Kwa Halifa Mwinyi,LGA,communal_standpipe,NA,Not_functional,NA,NA,NA,NA,NA,Chemba,NA,NA,35.88927532,-5.22522888,4,ce4ac3e0eaad74105d95b6a6b1ace62c5179d449.osm,-5.2252288797204525 35.889275322122614 1237.7781395756756 4.0
Dodoma,Chemba,Chemba,Chemba,Kwa Shabani Kijuu,NA,,NA,Kwa Shabani Kijuu,LGA,communal_standpipe,NA,Not_functional,NA,NA,NA,NA,NA,Chemba,NA,NA,35.88910444,-5.22051609,4,f8c4845c2ddcf7ca8e2a34868b28aff8c2392251.osm,-5.2205160904281245 35.88910444493083 1220.6463194902994 4.0
Dodoma,Chemba,Chemba,Chemba,Kwa Asha Abdallah,NA,,NA,Kwa Asha Abdallah,LGA,communal_standpipe,NA,Not_functional,NA,NA,NA,NA,NA,Chemba,NA,NA,35.88999309,-5.231796815,4,572c8ddaae78ece8d85b908bd63c336761868b0e.osm,-5.231796815330857 35.88999308538878 1235.7693167891964 4.0
Pwani,Kibaha,Magindu,Lukenge,Omary_Nassor_06023011031WP 11,06023011031WP 11,,Omary_Nassor_06023011031WP 11,NA,Wami_Chalinze,cattle_trough,NA,Not_functional,4,NA,Functional,more_3_months,NA,Lukenge,Wami_Chalinze,NA,38.33140126,-6.884754922,4,85f48f1fce063acdc41b9605c87a45e1ffe7204d.osm,-6.884754921862068 38.33140125599605 171.29046991761663 4.0
Pwani,Kibaha,Magindu,Lukenge,Bwawa la lukenga TASAF,NA,,NA,Bwawa la lukenga TASAF,TASAF,cattle_trough,NA,Not_functional,1,NA,NA,NA,NA,Lukenge,NA,NA,38.32021102,-6.888474718,4,0e06c68d54d4d847197544fbdbd6dc63dad9cde4.osm,-6.888474718177498 38.32021102445465 156.86474012608505 4.0
Pwani,Kibaha,Magindu,Lukenge,Ally_Maskati_06023011031WP 12,06023011031WP 12,,Ally_Maskati_06023011031WP 12,NA,Wami_Chalinze,kiosk,NA,Not_functional,4,NA,Functional,more_3_months,NA,Lukenge,Wami_Chalinze,NA,38.33370884,-6.88475875,4,19471b342cf3472ce98bdb3e92436c33b74476a6.osm,-6.8847587503919225 38.3337088361753 178.81443970524623 4.0
Pwani,Kibaha,Magindu,Lukenge,Agness_Baruti_06023011031WP 13,06023011031WP 13,,Agness_Baruti_06023011031WP 13,NA,Wami_Chalinze,kiosk,NA,Not_functional,4,NA,Functional,more_3_months,NA,Lukenge,Wami_Chalinze,NA,38.33310636,-6.882496959,4,bc441ecb33c04ecd6ead614436845c5f8014fe34.osm,-6.88249695901258 38.33310635852808 168.56384930337524 4.0
Pwani,Kibaha,Magindu,Magindu,Kwa_Mama_Lela_06023011031WP 05,06023011031WP 05,,Kwa_Mama_Lela_06023011031WP 05,NA,Wami_Chalinze,kiosk,NA,Functional,NA,NA,Functional,NA,NA,Magindu,Wami_Chalinze,NA,38.32227132,-6.815904898,4,deb13fc6ee323bb4e3eeeb51dd81956baccff09c.osm,-6.8159048980001575 38.32227131832172 156.35930207270516 4.0
Pwani,Kibaha,Magindu,Magindu,Judith_Mkurugute_06023011031WP 09,06023011031WP 09,,Judith_Mkurugute_06023011031WP 09,NA,Wami_Chalinze,kiosk,NA,Functional,NA,NA,Functional,NA,NA,Magindu,Wami_Chalinze,NA,38.33111135,-6.80567237,4,386383e37287fc4fa89c8d65fa991115d3128fac.osm,-6.805672370365443 38.33111135469634 168.80631100919672 4.0
