"","wpt_name","wpt_type","wpt_type_other","wpt_status","wpt_non_functional_reason","wpt_non_functional_reason_other","wpt_pbr_status","wpt_call_status","pbr_nonfunctional_functional","pbr_functional_nonfunctional","call_nonfunctional_functional","call_functional_nonfunctional","wpt_pbr_scheme","scheme_name_change","lat","long","wpt_image","region","lga","ward_merge","village_merge","scheme_merge"
"1","Kwa kiluka","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6.86476287737789","38.61581250529965","http://classic.ona.io/api/v1/files/2369012?filename=pbrtz/attachments/1474105930266.jpg","Pwani","Kibaha","Ruvu","Kitomondo","JICA"
"2","Kwa manumbo","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6.8672209157480255","38.61192147315374","http://classic.ona.io/api/v1/files/2369005?filename=pbrtz/attachments/1474106267647.jpg","Pwani","Kibaha","Ruvu","Kitomondo","JICA"
"3","Kwa Juma","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6.8683596066411585","38.609880202997196","http://classic.ona.io/api/v1/files/2369002?filename=pbrtz/attachments/1474106741618.jpg","Pwani","Kibaha","Ruvu","Kitomondo","JICA"
"4","Njia panda","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6.869386283152773","38.60858923214374","http://classic.ona.io/api/v1/files/2369008?filename=pbrtz/attachments/1474107079036.jpg","Pwani","Kibaha","Ruvu","Kitomondo","JICA"
"5","Shule ya msingi","communal_standpipe",NA,"Not_functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6.870328704933283","38.60948870094863","http://classic.ona.io/api/v1/files/2369010?filename=pbrtz/attachments/1474107412596.jpg","Pwani","Kibaha","Ruvu","Kitomondo","JICA"
"6","Kwa mzee kiyumbo","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6.870489042938723","38.60735331334388","http://classic.ona.io/api/v1/files/2369007?filename=pbrtz/attachments/1474107795019.jpg","Pwani","Kibaha","Ruvu","Kitomondo","JICA"
"7","Kwa mgweno","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6.857123071064916","38.62632952579516","http://classic.ona.io/api/v1/files/2369026?filename=pbrtz/attachments/1474108673755.jpg","Pwani","Kibaha","Ruvu","Minazi Mikinda","JICA"
"8","Kwa mzelu","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6.84652057602593","38.63402972702522","http://classic.ona.io/api/v1/files/2369021?filename=pbrtz/attachments/1474109051670.jpg","Pwani","Kibaha","Ruvu","Minazi Mikinda","JICA"
"9","Kwa mzelu 2","communal_standpipe",NA,"Not_functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6.846547960207156","38.63494838868344","http://classic.ona.io/api/v1/files/2369025?filename=pbrtz/attachments/1474109397738.jpg","Pwani","Kibaha","Ruvu","Minazi Mikinda","JICA"
"10","Kwa kipechu","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6.841316688096113","38.6367297628131","http://classic.ona.io/api/v1/files/2369027?filename=pbrtz/attachments/1474109880164.jpg","Pwani","Kibaha","Ruvu","Minazi Mikinda","JICA"
