,wptname,region,lga,ward,village,subvillage,installer,schemename,longitude,latitude,status
2559,Bombani,Dodoma,Chemba,Chemba,Chemba,Bombani,Mushi brothers,Chemba,35.891,-5.242,Functional
2560,Bombani,Dodoma,Chemba,Chemba,Chemba,Bombani,DWE,Chem,35.892,-5.246,Functional
2561,Bombani,Dodoma,Chemba,Chemba,Chemba,Bombani,DWE,Chem,35.892,-5.246,Functional
2562,Stendi,Dodoma,Chemba,Chemba,Chemba,Bombani,Centr,Chem,35.89,-5.241,Not functional
2563,Gwaiba,Dodoma,Chemba,Chemba,Chemba,Gwaiba,Centr,Chem,35.888,-5.218,Not functional
2564,Kanisani,Dodoma,Chemba,Chemba,Chemba,Gwaiba,Mushi brothers,Chemba,35.89,-5.227,Not functional
2565,Kijiweni,Dodoma,Chemba,Chemba,Chemba,Gwaiba,Centr,Chem,35.888,-5.223,Not functional
2566,Kwamjungu,Dodoma,Chemba,Chemba,Chemba,Gwaiba,Mushi brothers,Chemba,35.889,-5.232,Not functional
2567,Mradini House,Dodoma,Chemba,Chemba,Chemba,Gwaiba,Mushi brothers,Chemba,35.893,-5.229,Not functional
2568,Mzee Shaurimoyo,Dodoma,Chemba,Chemba,Chemba,Gwaiba,Mushi brothers,Chemba,35.888,-5.224,Not functional
2569,Kanisani,Dodoma,Chemba,Chemba,Chemba,Molongia,DWE,Kamb,35.882,-5.313,Not functional
2570,Msikitini,Dodoma,Chemba,Chemba,Chemba,Molongia,DWE,Kamb,35.882,-5.309,Functional
2571,Shule Ya Msingi  Kambi Yanyas,Dodoma,Chemba,Chemba,Chemba,Molongia,DWE,Kamb,35.885,-5.305,Functional
2572,Shule Ya Secondari  K/ Nyasa,Dodoma,Chemba,Chemba,Chemba,Molongia,DWE,Kamb,35.892,-5.308,Functional
2573,Kati,Dodoma,Chemba,Chemba,Chemba,Shule Ya Msingi _Chemba,Centr,Chem,35.89,-5.238,Not functional
2574,Shule Ya Msingi  Chemba,Dodoma,Chemba,Chemba,Chemba,Shule Ya Msingi _Chemba,Centr,Chem,35.889,-5.23,Not functional
2575,Shuleni,Dodoma,Chemba,Chemba,Chemba,Shuleni,Mushi brothers,Chemba,35.89,-5.237,Not functional
2576,Kimambo,Dodoma,Chemba,Chemba,Kidoka,Kimambo,DWE,Kido,35.856,-5.405,Functional
2577,Kwa Ayubu,Dodoma,Chemba,Chemba,Kidoka,Mkalama,DWE,Kido,35.854,-5.401,Functional
2578,Mkalama,Dodoma,Chemba,Chemba,Kidoka,Mkalama,DWE,Kido,35.855,-5.397,Functional
2579,Kwa Mhogo,Dodoma,Chemba,Chemba,Kidoka,Mkombozi,DWE,Kido,35.855,-5.402,Functional
2580,Msikitini,Dodoma,Chemba,Chemba,Kidoka,Mkombozi,DWE,Kido,35.855,-5.403,Functional
2581,Kwa Kimwose,Dodoma,Chemba,Chemba,Kidoka,Shuleni,DWE,Kido,35.852,-5.413,Functional
2582,Shule Ya Msingi  Kidoka,Dodoma,Chemba,Chemba,Kidoka,Shuleni,DWE,Kido,35.852,-5.408,Functional
2583,Zahanati,Dodoma,Chemba,Chemba,Kidoka,Shuleni,DWE,Kido,35.852,-5.405,Functional
2699,Banda La Ngozi,Dodoma,Chemba,Jangalo,Mlongia,Banda La Ngozi,Centr,Ntom,36.236,-5.008,Functional needs repair
2700,Tangini B,Dodoma,Chemba,Jangalo,Mlongia,Banda La Ngozi,Chemba DC,Mlongia,36.2383,-5.0106,Functional needs repair
2701,Bustani,Dodoma,Chemba,Jangalo,Mlongia,Bustani,Centr,Ntom,36.234,-5.007,Not functional
2702,Tangini B,Dodoma,Chemba,Jangalo,Mlongia,Bustani,Chemba DC,Mlongia,36.23874,-5.00822,Not functional
2703,Isusumya,Dodoma,Chemba,Jangalo,Mlongia,Isusumya,Centr,Ntom,36.236,-5.005,Functional
2704,Tangini B,Dodoma,Chemba,Jangalo,Mlongia,Isusumya,Chemba DC,Mlongia,36.236,-5.008,Functional
